block_hash,Height,Hash,First_Time,Prop_Time,Obs_Witness_Count,Peers_Report_Count,Sorted_Timestamps,Prct_Prop_Time,Miner_Time,Block_Time_MRT,Last_Block_Prop_Time,Last_Block_Prct_Prop_Time,num_tx,Difficulty,prct_prop_time_col_50,prct_prop_time_col_75,prct_prop_time_col_90,prct_prop_time_col_95,prct_prop_time_col_97,prct_prop_time_col_99
207,873962.0,,1592707676.569,10.978000164031982,3,123,,2.3939998149871826,1592707651,-55670.0,4.144000053405762,1.6770000457763672,3,469929488,0.1789999008178711,0.2869999408721924,0.500999927520752,0.9870002269744873,1.6459996700286865,3.2380001544952393
208,873963.0,,1592707748.6929998,27.89400029182434,3,150,,12.837340116500854,1592707746,95.0,10.978000164031982,2.3939998149871826,4,469930316,0.1855001449584961,0.285750150680542,0.6837000846862793,2.2770001888275146,12.815000057220459,13.694999933242798
209,873964.0,,1592707753.4229999,23.939000368118286,3,150,,8.134000301361084,1592707748,2.0,27.89400029182434,12.837340116500854,2,469930175,0.20600008964538574,0.3860001564025879,1.436000108718872,3.2810001373291016,8.085000038146973,8.961879968643188
210,873965.0,,1592707759.2979999,18.216000080108643,3,150,,2.3380002975463867,1592707753,5.0,23.939000368118286,8.134000301361084,1,469931580,0.2050004005432129,0.6590001583099365,1.0405001640319824,2.2100000381469727,2.2799999713897705,13.366090059280396
211,873966.0,,1592707797.994,3.88700008392334,3,150,,3.0830001831054688,1592707760,7.0,18.216000080108643,2.3380002975463867,1,469928426,0.18800020217895508,0.2870001792907715,0.453200101852417,1.002000093460083,1.753999948501587,3.596679925918579
212,873967.0,,1592707854.314,9.403000116348267,3,150,,4.607000112533569,1592707843,83.0,3.88700008392334,3.0830001831054688,6,469931758,0.632000207901001,1.0120000839233398,1.4800000190734863,3.0199999809265137,3.5299999713897705,9.196000099182129
213,873968.0,,1592707897.4320002,70.18499994277954,3,150,,1.7119998931884766,1592707884,41.0,9.403000116348267,4.607000112533569,1,469931505,0.22299981117248535,0.31399989128112793,0.5069997310638428,1.0629997253417969,1.3579998016357422,6.485999822616577
214,873969.0,,1592707927.181,40.436999797821045,3,150,,1.44100022315979,1592707911,27.0,70.18499994277954,1.7119998931884766,2,469933379,0.19299983978271484,0.2779998779296875,0.48000001907348633,0.6889998912811279,1.241999864578247,1.7769999504089355
215,873970.0,,1592708026.1320002,16.384999990463257,3,150,,5.692999839782715,1592708018,107.0,40.436999797821045,1.44100022315979,3,469932038,0.3269996643066406,0.5369997024536133,1.2793996334075928,1.9649999141693115,2.54699969291687,16.27862000465393
216,873971.0,,1592708122.046,7.5980000495910645,3,150,,1.2319998741149902,1592708080,62.0,16.384999990463257,5.692999839782715,2,469929987,0.2569999694824219,0.3410000801086426,0.4998002052307129,0.6080000400543213,1.0460000038146973,1.8161201477050781
217,873972.0,,1592708129.714,14.234999895095825,3,150,,2.8389999866485596,1592708122,42.0,7.5980000495910645,1.2319998741149902,2,469927832,0.4500000476837158,0.7239999771118164,1.4417998790740967,1.7930002212524414,2.2830002307891846,3.56823992729187
218,873973.0,,1592708232.822,2.8489999771118164,3,150,,2.183000087738037,1592708220,98.0,14.234999895095825,2.8389999866485596,3,469927693,0.26149988174438477,0.43199992179870605,0.674299955368042,1.0820000171661377,1.6129999160766602,2.2796401977539062
219,873974.0,,1592708375.4910002,2.7939999103546143,3,150,,1.3999996185302734,1592708369,149.0,2.8489999771118164,2.183000087738037,6,469927405,0.29399991035461426,0.4499998092651367,0.6814999580383301,0.9809999465942383,1.2139997482299805,1.5543098449707031
220,873975.0,,1592708601.161,3.7829999923706055,3,150,,2.378000020980835,1592708577,208.0,2.7939999103546143,1.3999996185302734,12,469926246,0.6184999942779541,0.9285001754760742,1.3147001266479492,1.681999921798706,1.9019999504089355,2.9709599018096924
221,873976.0,,1592708870.3070002,17.44599962234497,3,150,,9.038999795913696,1592708864,287.0,3.7829999923706055,2.378000020980835,41,469927546,0.6469998359680176,1.0059998035430908,2.2717995643615723,4.434000015258789,5.200999736785889,13.786940097808838
222,873977.0,,1592708884.502,46.42099976539612,3,150,,11.745000123977661,1592708870,6.0,17.44599962234497,9.038999795913696,2,469927548,0.15549993515014648,0.2990000247955322,1.0676000118255615,4.2799999713897705,5.003000020980835,37.68219995498657
223,873978.0,,1592708908.1460001,22.776999711990356,3,150,,5.374999761581421,1592708893,23.0,46.42099976539612,11.745000123977661,3,469927519,0.20600008964538574,0.3539998531341553,0.8279998302459717,3.481999635696411,4.83899998664856,14.06119966506958
224,873979.0,,1592708963.15,6.381999969482422,3,150,,1.7099995613098145,1592708961,68.0,22.776999711990356,5.374999761581421,9,469928256,0.24299979209899902,0.3379998207092285,0.6034996509552002,1.185999870300293,1.36899995803833,1.9019100666046143
225,873980.0,,1592708988.945,3.878000020980835,3,150,,1.569000005722046,1592708963,2.0,6.381999969482422,1.7099995613098145,1,469928971,0.13499999046325684,0.20399999618530273,0.32140016555786133,0.5250000953674316,0.9260001182556152,2.201469898223877
226,873981.0,,1592709001.764,3.7839999198913574,3,150,,1.9680001735687256,1592708989,26.0,3.878000020980835,1.569000005722046,7,469933483,0.2505002021789551,0.3489999771118164,0.6266999244689941,0.9470000267028809,1.1710000038146973,2.921910047531128
227,873982.0,,1592709058.7089999,16.574000120162964,3,150,,2.388000249862671,1592709046,57.0,3.7839999198913574,1.9680001735687256,9,469939986,0.1445000171661377,0.23200011253356934,0.4812002182006836,1.4300000667572021,2.0239999294281006,3.23110032081604
